size,thread_count,sum,time
100000,7,550465,542
100000,8,550465,850
100000,9,550465,797
100000,10,550465,758
100000,11,550465,644
100000,12,550465,1213
100000,16,550465,645
100000,100,550465,2572
100000,500,550465,11840
100000,2000,550465,48937
100000,1,549935,1482
100000,2,549935,2385
100000,3,549935,1070
100000,4,549935,987
100000,5,549935,750
100000,6,549935,720
100000,7,549935,637
100000,8,549935,779
100000,9,549935,680
100000,10,549935,682
100000,11,549935,724
100000,12,549935,741
100000,16,549935,774
100000,100,549935,2618
100000,500,549935,12180
100000,2000,549935,49319
100000,1,550218,1483
100000,2,550218,1624
100000,3,550218,1208
100000,4,550218,1039
100000,5,550218,784
100000,6,550218,766
100000,7,550218,633
100000,8,550218,504
100000,9,550218,797
100000,10,550218,684
100000,11,550218,727
100000,12,550218,731
100000,16,550218,542
100000,100,550218,2695
100000,500,550218,11741
100000,2000,550218,49227
100000,1,549706,1480
100000,2,549706,1638
100000,3,549706,1391
100000,4,549706,925
100000,5,549706,781
100000,6,549706,1264
100000,7,549706,638
100000,8,549706,706
100000,9,549706,783
100000,10,549706,953
100000,11,549706,681
100000,12,549706,672
100000,16,549706,612
100000,100,549706,2665
100000,500,549706,14612
100000,2000,549706,48386
1000000,1,5494509,14788
1000000,2,5494509,13554
1000000,3,5494509,8901
1000000,4,5494509,9154
1000000,5,5494509,7117
1000000,6,5494509,5754
1000000,7,5494509,4905
1000000,8,5494509,7248
1000000,9,5494509,6865
1000000,10,5494509,5996
1000000,11,5494509,5723
1000000,12,5494509,5161
1000000,16,5494509,4129
1000000,100,5494509,4606
1000000,500,5494509,12508
1000000,2000,5494509,48991
1000000,1,5498849,14794
1000000,2,5498849,7821
1000000,3,5498849,11309
1000000,4,5498849,8439
1000000,5,5498849,7380
1000000,6,5498849,5877
1000000,7,5498849,4908
1000000,8,5498849,4345
1000000,9,5498849,6571
1000000,10,5498849,6055
1000000,11,5498849,5500
1000000,12,5498849,5252
1000000,16,5498849,3936
1000000,100,5498849,4918
1000000,500,5498849,18311
1000000,2000,5498849,49673
1000000,1,5497911,14795
1000000,2,5497911,8269
1000000,3,5497911,11389
1000000,4,5497911,5405
1000000,5,5497911,6789
1000000,6,5497911,5845
1000000,7,5497911,4997
1000000,8,5497911,7361
1000000,9,5497911,7041
1000000,10,5497911,5948
1000000,11,5497911,5532
1000000,12,5497911,5359
1000000,16,5497911,3904
1000000,100,5497911,5136
1000000,500,5497911,19648
1000000,2000,5497911,51715
1000000,1,5500411,14791
1000000,2,5500411,8134
1000000,3,5500411,6242
1000000,4,5500411,8364
1000000,5,5500411,6980
1000000,6,5500411,5891
1000000,7,5500411,4853
1000000,8,5500411,7259
1000000,9,5500411,6596
1000000,10,5500411,5976
1000000,11,5500411,5452
1000000,12,5500411,5135
1000000,16,5500411,3865
1000000,100,5500411,3999
1000000,500,5500411,12650
1000000,2000,5500411,49229
1000000,1,5502443,14783
1000000,2,5502443,8690
1000000,3,5502443,11285
1000000,4,5502443,8613
1000000,5,5502443,6849
1000000,6,5502443,5769
1000000,7,5502443,4955
1000000,8,5502443,7233
1000000,9,5502443,6673
1000000,10,5502443,6102
1000000,11,5502443,5458
1000000,12,5502443,5193
1000000,16,5502443,4022
1000000,100,5502443,4666
1000000,500,5502443,12385
1000000,2000,5502443,50117
1000000,1,5502395,14813
1000000,2,5502395,8634
1000000,3,5502395,5888
1000000,4,5502395,8391
1000000,5,5502395,6835
1000000,6,5502395,5690
1000000,7,5502395,4889
1000000,8,5502395,7287
1000000,9,5502395,6550
1000000,10,5502395,5918
1000000,11,5502395,5460
1000000,12,5502395,5149
1000000,16,5502395,4039
1000000,100,5502395,5134
1000000,500,5502395,19779
1000000,2000,5502395,50082
1000000,1,5493801,14792
1000000,2,5493801,16028
1000000,3,5493801,10730
1000000,4,5493801,8481
1000000,5,5493801,6710
1000000,6,5493801,5881
1000000,7,5493801,4879
1000000,8,5493801,7288
1000000,9,5493801,6523
1000000,10,5493801,6204
1000000,11,5493801,5419
1000000,12,5493801,4980
1000000,16,5493801,3810
1000000,100,5493801,4130
1000000,500,5493801,12388
1000000,2000,5493801,50263
1000000,1,5504688,14809
1000000,2,5504688,8665
1000000,3,5504688,11334
1000000,4,5504688,8474
1000000,5,5504688,6866
1000000,6,5504688,5730
1000000,7,5504688,4973
1000000,8,5504688,7059
1000000,9,5504688,6626
1000000,10,5504688,5943
1000000,11,5504688,5431
1000000,12,5504688,5214
1000000,16,5504688,4091
1000000,100,5504688,5236
1000000,500,5504688,12644
1000000,2000,5504688,49616
1000000,1,5500456,14794
1000000,2,5500456,8593
1000000,3,5500456,11278
1000000,4,5500456,8674
1000000,5,5500456,6794
1000000,6,5500456,5852
1000000,7,5500456,5080
1000000,8,5500456,4295
1000000,9,5500456,6580
1000000,10,5500456,6228
1000000,11,5500456,5452
1000000,12,5500456,5270
1000000,16,5500456,4083
1000000,100,5500456,4925
1000000,500,5500456,12780
1000000,2000,5500456,49234
1000000,1,5500816,14782
1000000,2,5500816,8029
1000000,3,5500816,10812
1000000,4,5500816,8364
1000000,5,5500816,6994
1000000,6,5500816,5817
1000000,7,5500816,4914
1000000,8,5500816,4359
1000000,9,5500816,3878
1000000,10,5500816,6072
1000000,11,5500816,5506
1000000,12,5500816,5226
1000000,16,5500816,4019
1000000,100,5500816,4195
1000000,500,5500816,12574
1000000,2000,5500816,49992
